resistencia,tiempo,VCH2
3000,0.0035199999999999997,1.32
3000,0.0035240000000000002,1.3
3000,0.003528,1.3
3000,0.0035320000000000004,1.3
3000,0.003536,1.3
3000,0.0035399999999999997,1.3
3000,0.0035440000000000003,1.3
3000,0.003548,1.3
3000,0.0035520000000000005,1.28
3000,0.003556,1.28
3000,0.00356,1.3
3000,0.0035640000000000003,1.3
3000,0.003568,1.3
3000,0.0035719999999999997,1.3
3000,0.003576,1.3
3000,0.00358,1.3
3000,0.0035840000000000004,1.3
3000,0.003588,1.3
3000,0.0035919999999999997,1.32
3000,0.0035960000000000002,1.3
3000,0.0036,1.3
3000,0.0036040000000000004,1.3
3000,0.003608,1.3
3000,0.0036119999999999998,1.3
3000,0.0036160000000000003,1.3
3000,0.00362,1.3
3000,0.0036240000000000005,1.3
3000,0.003628,1.32
3000,0.003632,1.3
3000,0.0036360000000000003,1.3
3000,0.00364,1.32
3000,0.0036439999999999997,1.3
3000,0.003648,1.3
3000,0.003652,1.3
3000,0.0036560000000000004,1.3
3000,0.00366,1.3
3000,0.0036639999999999997,1.3
3000,0.0036680000000000003,1.3
3000,0.003672,1.3
3000,0.0036760000000000004,1.3
3000,0.00368,1.3
3000,0.0036839999999999998,1.3
3000,0.0036880000000000003,1.3
3000,0.003692,1.3
3000,0.0036960000000000005,1.32
3000,0.0037,1.3
3000,0.003704,1.32
3000,0.0037080000000000004,1.3
3000,0.003712,1.32
3000,0.0037159999999999997,1.3
3000,0.00372,1.3
3000,0.003724,1.3
3000,0.0037280000000000004,1.32
3000,0.003732,1.3
3000,0.0037359999999999997,1.32
3000,0.0037400000000000003,1.3
3000,0.003744,1.3
3000,0.0037480000000000005,1.3
3000,0.003752,1.32
3000,0.003756,1.3
3000,0.0037600000000000003,1.3
3000,0.003764,1.3
3000,0.0037679999999999996,1.3
3000,0.003772,1.28
3000,0.003776,1.3
3000,0.0037800000000000004,1.3
3000,0.003784,1.3
3000,0.0037879999999999997,1.32
3000,0.0037920000000000002,1.3
3000,0.003796,1.3
3000,0.0038000000000000004,1.3
3000,0.003804,1.3
3000,0.0038079999999999998,1.3
3000,0.0038120000000000003,1.3
3000,0.003816,1.3
3000,0.0038200000000000005,1.3
3000,0.003824,1.3
3000,0.003828,1.3
3000,0.0038320000000000003,1.32
3000,0.003836,1.3
3000,0.0038399999999999997,1.28
3000,0.003844,1.3
3000,0.003848,1.28
3000,0.0038520000000000004,1.32
3000,0.003856,1.32
3000,0.0038599999999999997,1.3
3000,0.0038640000000000002,1.32
3000,0.003868,1.3
3000,0.0038720000000000004,1.3
3000,0.003876,1.3
3000,0.0038799999999999998,1.32
3000,0.0038840000000000003,1.3
3000,0.003888,1.3
3000,0.0038920000000000005,1.3
3000,0.003896,1.3
3000,0.0039,1.32
3000,0.0039040000000000004,1.3
3000,0.003908,1.3
3000,0.003912,1.3
3000,0.003916,1.3
3000,0.00392,1.3
3000,0.003924,1.3
3000,0.003928,1.3
3000,0.003932,1.3
3000,0.003936,1.3
3000,0.00394,1.3
3000,0.0039440000000000005,1.3
3000,0.003948,1.32
3000,0.003952,1.3
3000,0.003956,1.3
3000,0.00396,1.3
3000,0.003964,1.3
3000,0.003968,1.3
3000,0.003972,1.32
3000,0.003976,1.3
3000,0.00398,1.3
3000,0.003984,1.3
3000,0.003988,1.3
3000,0.003992,1.3
3000,0.003996,1.32
3000,0.004,1.3
3000,0.004004,1.3
3000,0.004008,1.32
3000,0.004012,1.3
3000,0.0040160000000000005,1.3
3000,0.00402,1.3
3000,0.004024,1.32
3000,0.004028,1.3
3000,0.004032,1.3
3000,0.004036,1.3
3000,0.00404,1.3
3000,0.004044,1.3
3000,0.004048,1.3
3000,0.004052,1.3
3000,0.004056,1.32
3000,0.00406,1.3
3000,0.004064,1.3
3000,0.0040680000000000004,1.3
3000,0.004072,1.3
3000,0.004076,1.3
3000,0.00408,1.3
3000,0.004084,1.32
3000,0.0040880000000000005,1.3
3000,0.004092,1.3
3000,0.004096,1.28
3000,0.0041,1.32
3000,0.004104,1.3
3000,0.004108,1.3
3000,0.004112,1.3
3000,0.004116,1.3
3000,0.00412,1.3
3000,0.004124,1.3
3000,0.004128,1.3
3000,0.004132,1.3
3000,0.004136,1.3
3000,0.0041400000000000005,1.3
3000,0.004144,1.32
3000,0.004148,1.32
3000,0.004152,1.3
3000,0.004156,1.26
3000,0.00416,1.3
3000,0.004164,1.32
3000,0.004168,1.3
3000,0.004172,1.3
3000,0.004176,1.3
3000,0.00418,1.3
3000,0.004184,1.3
3000,0.004188,1.3
3000,0.004192,1.3
3000,0.004196,1.3
3000,0.0042,1.3
3000,0.004204,1.3
3000,0.004208,1.32
3000,0.0042120000000000005,1.3
3000,0.004216,1.32
3000,0.00422,1.32
3000,0.004224,1.3
3000,0.004228,1.3
3000,0.004232,1.3
3000,0.004236,1.3
3000,0.00424,1.3
3000,0.004244,1.3
3000,0.004248,1.3
3000,0.004252,1.3
3000,0.004256,1.3
3000,0.00426,1.3
3000,0.004264,1.3
3000,0.004268,1.32
3000,0.004272,1.3
3000,0.004276,1.3
3000,0.00428,1.3
3000,0.004284,1.3
3000,0.004288,1.3
3000,0.004292,1.32
3000,0.004296,1.32
3000,0.0043,1.32
3000,0.004304,1.32
3000,0.004308,1.3
3000,0.004312,1.32
3000,0.004316,1.3
3000,0.00432,1.3
3000,0.004324,1.3
3000,0.004328,1.3
3000,0.004332,1.3
3000,0.0043360000000000004,1.32
3000,0.00434,1.3
3000,0.004344,1.3
3000,0.004348,1.3
3000,0.004352,1.3
3000,0.004356,1.3
3000,0.00436,1.3
3000,0.004364,1.3
3000,0.004368,1.3
3000,0.004372,1.3
3000,0.004376,1.3
3000,0.00438,1.3
3000,0.004384,1.3
3000,0.004388,1.3
3000,0.004392,1.3
3000,0.004396,1.3
3000,0.0044,1.3
3000,0.004404,1.3
3000,0.0044080000000000005,1.3
3000,0.004412,1.3
3000,0.004416,1.32
3000,0.00442,1.3
3000,0.004424,1.3
3000,0.004428,1.3
