resistencia,tiempo,VCH1,VCH2
1000,0.0001920000000000001,1.28,0.3
1000,0.00019300000000000003,1.28,0.3
1000,0.00019399999999999995,1.28,0.3
1000,0.00019500000000000008,1.28,0.3
1000,0.000196,1.28,0.3
1000,0.00019700000000000013,1.28,0.3
1000,0.00019800000000000004,1.28,0.3
1000,0.00019899999999999996,1.28,0.32
1000,0.0002000000000000001,1.28,0.32
1000,0.000201,1.26,0.32
1000,0.00020199999999999992,1.28,0.34
1000,0.00020300000000000006,1.28,0.34
1000,0.00020399999999999997,1.3,0.34
1000,0.0002050000000000001,1.28,0.34
1000,0.00020600000000000002,1.28,0.36
1000,0.00020699999999999994,1.28,0.36
1000,0.00020800000000000007,1.28,0.34
1000,0.00020899999999999998,1.28,0.38
1000,0.00021000000000000012,1.28,0.36
1000,0.00021100000000000003,1.3,0.36
1000,0.00021199999999999995,1.3,0.38
1000,0.00021300000000000008,1.28,0.38
1000,0.000214,1.28,0.34
1000,0.0002149999999999999,1.28,0.4
1000,0.00021600000000000005,1.28,0.4
1000,0.00021699999999999996,1.28,0.38
1000,0.0002180000000000001,1.28,0.4
1000,0.000219,1.28,0.4
1000,0.00021999999999999993,1.28,0.38
1000,0.00022100000000000006,1.28,0.4
1000,0.00022199999999999998,1.28,0.42
1000,0.0002230000000000001,1.28,0.42
1000,0.00022400000000000002,1.3,0.46
1000,0.00022499999999999994,1.28,0.4
1000,0.00022600000000000007,1.28,0.44
1000,0.000227,1.28,0.46
1000,0.00022800000000000012,1.28,0.46
1000,0.00022900000000000004,1.28,0.44
1000,0.00022999999999999995,1.28,0.44
1000,0.00023100000000000009,1.28,0.44
1000,0.000232,1.28,0.46
1000,0.00023299999999999992,1.28,0.44
1000,0.00023400000000000005,1.28,0.46
1000,0.00023499999999999997,1.28,0.46
1000,0.0002360000000000001,1.28,0.46
1000,0.00023700000000000001,1.28,0.46
1000,0.00023799999999999993,1.28,0.48
1000,0.00023900000000000006,1.28,0.48
1000,0.00023999999999999998,1.3,0.48
1000,0.0002410000000000001,1.28,0.48
1000,0.00024200000000000003,1.3,0.48
1000,0.00024299999999999994,1.3,0.5
1000,0.00024400000000000008,1.28,0.48
1000,0.000245,1.28,0.5
1000,0.0002460000000000001,1.28,0.52
1000,0.00024700000000000004,1.3,0.52
1000,0.00024799999999999996,1.28,0.52
1000,0.0002490000000000001,1.28,0.5
1000,0.00025,1.28,0.52
1000,0.0002509999999999999,1.3,0.52
1000,0.00025200000000000005,1.28,0.52
1000,0.00025299999999999997,1.28,0.52
1000,0.0002540000000000001,1.28,0.52
1000,0.000255,1.28,0.52
1000,0.00025599999999999993,1.3,0.52
1000,0.00025700000000000007,1.28,0.52
1000,0.000258,1.28,0.54
1000,0.0002590000000000001,1.28,0.52
1000,0.00026000000000000003,1.28,0.54
1000,0.00026099999999999995,1.28,0.54
1000,0.0002620000000000001,1.28,0.54
1000,0.000263,1.28,0.54
1000,0.0002639999999999999,1.28,0.56
1000,0.00026500000000000004,1.3,0.54
1000,0.00026599999999999996,1.3,0.58
1000,0.0002670000000000001,1.28,0.56
1000,0.000268,1.28,0.56
1000,0.0002689999999999999,1.3,0.58
1000,0.00027000000000000006,1.28,0.58
1000,0.000271,1.28,0.64
1000,0.0002720000000000001,1.3,0.6
1000,0.000273,1.28,0.6
1000,0.00027399999999999994,1.28,0.58
1000,0.00027500000000000007,1.3,0.58
1000,0.000276,1.28,0.6
1000,0.0002770000000000001,1.28,0.58
1000,0.00027800000000000004,1.3,0.6
1000,0.00027899999999999995,1.28,0.6
1000,0.0002800000000000001,1.28,0.6
1000,0.000281,1.28,0.6
1000,0.0002819999999999999,1.3,0.6
1000,0.00028300000000000005,1.3,0.6
1000,0.00028399999999999996,1.28,0.62
1000,0.0002850000000000001,1.3,0.62
1000,0.000286,1.28,0.62
1000,0.00028699999999999993,1.28,0.62
1000,0.00028800000000000006,1.3,0.64
1000,0.000289,1.28,0.62
1000,0.0002900000000000001,1.28,0.62
1000,0.000291,1.28,0.62
1000,0.00029199999999999994,1.3,0.64
1000,0.0002930000000000001,1.28,0.64
1000,0.000294,1.3,0.66
1000,0.0002949999999999999,1.3,0.64
1000,0.00029600000000000004,1.28,0.64
1000,0.00029699999999999996,1.3,0.66
1000,0.0002980000000000001,1.28,0.64
1000,0.000299,1.28,0.68
1000,0.0002999999999999999,1.3,0.66
1000,0.00030100000000000005,1.28,0.68
1000,0.00030199999999999997,1.28,0.66
1000,0.0003030000000000001,1.28,0.66
1000,0.000304,1.28,0.66
1000,0.00030499999999999993,1.28,0.68
1000,0.00030600000000000007,1.3,0.68
1000,0.000307,1.3,0.68
1000,0.0003080000000000001,1.3,0.7000000000000001
1000,0.00030900000000000003,1.3,0.68
1000,0.00030999999999999995,1.3,0.7000000000000001
1000,0.0003110000000000001,1.3,0.68
1000,0.000312,1.28,0.7000000000000001
1000,0.0003129999999999999,1.28,0.7000000000000001
1000,0.00031400000000000004,1.28,0.7000000000000001
1000,0.00031499999999999996,1.3,0.7000000000000001
1000,0.0003160000000000001,1.3,0.8
1000,0.000317,1.3,0.72
1000,0.0003179999999999999,1.3,0.72
1000,0.00031900000000000006,1.28,0.74
1000,0.00031999999999999997,1.3,0.72
1000,0.0003210000000000001,1.3,0.72
1000,0.000322,1.3,0.72
1000,0.00032299999999999994,1.3,0.74
1000,0.00032400000000000007,1.28,0.72
1000,0.000325,1.3,0.74
1000,0.0003260000000000001,1.28,0.72
1000,0.00032700000000000003,1.3,0.72
1000,0.00032799999999999995,1.3,0.76
1000,0.0003290000000000001,1.3,0.76
1000,0.00033,1.28,0.74
1000,0.0003309999999999999,1.3,0.74
